epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,9.305167198181152,,
0,12,,,,0.3686240017414093,9.359783172607422
0,19,,,8.496522903442383,,
0,24,,,,0.32304996252059937,7.89333438873291
0,24,0.3629875183105469,9.27707290649414,,,
1,29,,,7.2954535484313965,,
1,37,,,,0.23698510229587555,6.886646270751953
1,39,,,7.172824382781982,,
1,49,,,6.284483909606934,,
1,49,,,,0.23207712173461914,6.064569473266602
1,49,0.25633716583251953,6.972982406616211,,,
2,59,,,5.506967544555664,,
2,62,,,,0.23505696654319763,5.334133148193359
2,69,,,4.34623908996582,,
2,74,,,,0.20858895778656006,4.64162015914917
2,74,0.23465409874916077,5.459111213684082,,,
3,79,,,4.518981456756592,,
3,87,,,,0.19158633053302765,4.067591667175293
3,89,,,4.482957363128662,,
3,99,,,3.3993945121765137,,
3,99,,,,0.1628396213054657,3.520508050918579
3,99,0.18457749485969543,4.250135898590088,,,
4,109,,,2.7040884494781494,,
4,112,,,,0.13637159764766693,3.1097357273101807
4,119,,,3.000457763671875,,
4,124,,,,0.12357581406831741,2.780536413192749
4,124,0.13457846641540527,3.316882848739624,,,
5,129,,,2.1644275188446045,,
5,137,,,,0.10201577842235565,2.5456552505493164
5,139,,,2.460176944732666,,
5,149,,,3.498234272003174,,
5,149,,,,0.08904469758272171,2.359147071838379
5,149,0.09801982343196869,2.7178795337677,,,
6,159,,,2.702828884124756,,
6,162,,,,0.07484662532806396,2.2113356590270996
6,169,,,2.544656276702881,,
6,174,,,,0.08010517060756683,2.060961961746216
6,174,0.07387366145849228,2.3262557983398438,,,
7,179,,,1.9474245309829712,,
7,187,,,,0.06362839788198471,1.9530569314956665
7,189,,,2.6377902030944824,,
7,199,,,1.8853920698165894,,
7,199,,,,0.06362839788198471,1.8453439474105835
7,199,0.06181028112769127,2.0411882400512695,,,
