epoch,step,test_acc,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,,8.975686073303223,,
0,12,,,,,0.36950042843818665,9.361605644226074
0,19,,,,8.675591468811035,,
0,24,,,,,0.32234880328178406,7.893276214599609
0,24,,0.3629099428653717,9.297521591186523,,,
1,29,,,,7.631079196929932,,
1,37,,,,,0.2378615289926529,6.8808817863464355
1,39,,,,6.383693695068359,,
1,49,,,,6.258796691894531,,
1,49,,,,,0.2366345375776291,6.045577526092529
1,49,,0.25676384568214417,6.9516825675964355,,,
2,59,,,,5.884802341461182,,
2,62,,,,,0.23768624663352966,5.320825099945068
2,69,,,,5.578794956207275,,
2,74,,,,,0.2112182229757309,4.626777172088623
2,74,,0.23331588506698608,5.452651500701904,,,
3,79,,,,4.958828926086426,,
3,87,,,,,0.1942155957221985,4.087704658508301
3,89,,,,4.304123401641846,,
3,99,,,,3.45609712600708,,
3,99,,,,,0.16021034121513367,3.542970657348633
3,99,,0.1866914927959442,4.258843898773193,,,
4,109,,,,3.2212295532226562,,
4,112,,,,,0.14390885829925537,3.1594936847686768
4,119,,,,2.834961175918579,,
4,124,,,,,0.12638036906719208,2.816805124282837
4,124,,0.13535423576831818,3.3584344387054443,,,
5,129,,,,3.526653289794922,,
5,137,,,,,0.10850131511688232,2.5783233642578125
5,139,,,,2.186084270477295,,
5,149,,,,2.600867986679077,,
5,149,,,,,0.09798422455787659,2.349757194519043
5,149,,0.09724403917789459,2.7655670642852783,,,
6,159,,,,2.407273769378662,,
6,162,,,,,0.07467134296894073,2.196866512298584
6,169,,,,2.6667449474334717,,
6,174,,,,,0.07028921693563461,2.073979139328003
6,174,,0.07697678357362747,2.3611485958099365,,,
7,179,,,,2.3632116317749023,,
7,187,,,,,0.06888694316148758,1.9577869176864624
7,189,,,,2.9349710941314697,,
7,199,,,,2.032802104949951,,
7,199,,,,,0.05346187576651573,1.8569929599761963
7,199,,0.060530245304107666,2.057102680206299,,,
8,209,,,,0.9595288634300232,,
8,212,,,,,0.054513584822416306,1.7789056301116943
8,219,,,,1.9200094938278198,,
8,224,,,,,0.05416301637887955,1.7281452417373657
8,224,,0.049630533903837204,1.830866813659668,,,
9,229,,,,1.902077555656433,,
9,237,,,,,0.04574934393167496,1.6553322076797485
9,239,,,,1.3006532192230225,,
9,249,,,,1.2336879968643188,,
9,249,,,,,0.04522348940372467,1.6224819421768188
9,249,,0.043094586580991745,1.6355170011520386,,,
10,259,,,,1.8329260349273682,,
10,262,,,,,0.04592462629079819,1.5460797548294067
10,269,,,,1.189686894416809,,
10,274,,,,,0.03400525823235512,1.5080753564834595
10,274,,0.03698531910777092,1.4782088994979858,,,
11,279,,,,0.9552873373031616,,
11,287,,,,,0.034531112760305405,1.4541261196136475
11,289,,,,0.7726079225540161,,
11,299,,,,0.9464610815048218,,
11,299,,,,,0.031375985592603683,1.4575179815292358
11,299,,0.031263940036296844,1.349057674407959,,,
12,309,,,,1.904543399810791,,
12,312,,,,,0.04189307615160942,1.4072381258010864
12,319,,,,2.7524898052215576,,
12,324,,,,,0.03172655403614044,1.4010311365127563
12,324,,0.028180213645100594,1.2107192277908325,,,
13,329,,,,1.2678799629211426,,
13,337,,,,,0.03698509931564331,1.398430347442627
13,339,,,,0.9876293540000916,,
13,349,,,,1.046392798423767,,
13,349,,,,,0.030674846842885017,1.359920620918274
13,349,,0.025969240814447403,1.0627541542053223,,,
14,359,,,,1.0474541187286377,,
14,362,,,,,0.032602980732917786,1.3605886697769165
14,369,,,,1.2302881479263306,,
14,374,,,,,0.031200701370835304,1.3593966960906982
14,374,,0.023622505366802216,0.9636600613594055,,,
15,379,,,,0.2909591794013977,,
15,387,,,,,0.025942156091332436,1.3527166843414307
15,389,,,,1.13746178150177,,
15,399,,,,0.6430865526199341,,
15,399,,,,,0.02541630156338215,1.305953860282898
15,399,,0.02207094430923462,0.8574562668800354,,,
16,409,,,,0.23724526166915894,,
16,412,,,,,0.02541630156338215,1.377744197845459
16,419,,,,0.37237003445625305,,
16,424,,,,,0.024364592507481575,1.3113116025924683
16,424,,0.018250226974487305,0.7614395022392273,,,
17,429,,,,0.47783714532852173,,
17,437,,,,,0.02874671295285225,1.298749566078186
17,439,,,,1.0688815116882324,,
17,449,,,,0.6952217817306519,,
17,449,,,,,0.02173531986773014,1.3467087745666504
17,449,,0.017842942848801613,0.7025222778320312,,,
18,459,,,,0.43033117055892944,,
18,462,,,,,0.019106047227978706,1.3257194757461548
18,469,,,,1.8692057132720947,,
18,474,,,,,0.024364592507481575,1.3415789604187012
18,474,,0.015496208332479,0.6102754473686218,,,
19,479,,,,1.0222550630569458,,
19,487,,,,,0.027695003896951675,1.3993940353393555
19,489,,,,0.2772437632083893,,
19,499,,,,0.42200517654418945,,
19,499,,,,,0.0187554769217968,1.43061101436615
19,499,,0.014894979074597359,0.5338180065155029,,,
20,509,,,,2.999518871307373,,
20,512,,,,,0.022436458617448807,1.4345974922180176
20,519,,,,0.5701294541358948,,
20,524,,,,,0.019106047227978706,1.3761835098266602
20,524,,0.013750703074038029,0.4812861979007721,,,
21,529,,,,0.990359902381897,,
21,537,,,,,0.02015775628387928,1.42691969871521
21,539,,,,0.49828067421913147,,
21,549,,,,0.22009558975696564,,
21,549,,,,,0.020858895033597946,1.3714687824249268
21,549,,0.011345784179866314,0.43014004826545715,,,
22,559,,,,0.2961733043193817,,
22,562,,,,,0.01665205880999565,1.4631434679031372
22,561,,0.00971408374607563,0.3433517813682556,,,
23,562,0.02644350565969944,,,,,
