epoch,step,test_acc,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,,6.256213188171387,,
0,19,,,,3.880094051361084,,
0,29,,,,3.8032894134521484,,
0,39,,,,5.504696369171143,,
0,49,,,,1.8183518648147583,,
0,59,,,,3.067607879638672,,
0,66,,,,,0.08448728919029236,2.383228063583374
0,66,,0.16116832196712494,4.133152961730957,,,
1,69,,,,3.0797486305236816,,
1,79,,,,4.139285087585449,,
1,89,,,,2.0156021118164062,,
1,99,,,,1.2514241933822632,,
1,109,,,,1.9311435222625732,,
1,119,,,,2.7242355346679688,,
1,129,,,,1.3265045881271362,,
1,133,,,,,0.05416301637887955,1.7424075603485107
1,133,,0.06310971826314926,2.1515374183654785,,,
2,139,,,,1.1321520805358887,,
2,149,,,,1.3125170469284058,,
2,159,,,,1.3509225845336914,,
2,169,,,,2.22939133644104,,
2,179,,,,0.7173521518707275,,
2,189,,,,1.4413081407546997,,
2,199,,,,0.869856595993042,,
2,200,,,,,0.034531112760305405,1.4686051607131958
2,200,,0.04274548590183258,1.608129858970642,,,
3,209,,,,0.7899553775787354,,
3,219,,,,0.4531262516975403,,
3,229,,,,0.9623196125030518,,
3,239,,,,0.7622080445289612,,
3,249,,,,0.9913312196731567,,
3,259,,,,2.1552305221557617,,
3,267,,,,,0.03190184012055397,1.3587770462036133
3,267,,0.03091483935713768,1.2761231660842896,,,
4,269,,,,0.40893369913101196,,
4,279,,,,0.7210661172866821,,
4,289,,,,0.2518020272254944,,
4,299,,,,2.4746217727661133,,
4,309,,,,0.3393326997756958,,
4,319,,,,0.6105899810791016,,
4,329,,,,1.440162181854248,,
4,334,,,,,0.03558282181620598,1.294522762298584
4,334,,0.024863753467798233,1.0484585762023926,,,
5,339,,,,0.5371214747428894,,
5,349,,,,2.626863718032837,,
5,359,,,,0.10366609692573547,,
5,369,,,,0.43329498171806335,,
5,379,,,,0.3887084424495697,,
5,389,,,,0.5549374222755432,,
5,399,,,,2.562469244003296,,
5,401,,,,,0.026117440313100815,1.2454215288162231
5,401,,0.02067454159259796,0.8589736819267273,,,
6,409,,,,0.6430907249450684,,
6,419,,,,0.8075962066650391,,
6,429,,,,0.383321076631546,,
6,439,,,,1.306871771812439,,
6,449,,,,0.9188740253448486,,
6,459,,,,1.0277022123336792,,
6,468,,,,,0.020683610811829567,1.244953989982605
6,468,,0.018735090270638466,0.7214733362197876,,,
7,469,,,,0.8022844195365906,,
7,479,,,,0.1765805333852768,,
7,489,,,,0.8721505403518677,,
7,499,,,,0.1537204086780548,,
7,509,,,,0.579155445098877,,
7,519,,,,1.6402424573898315,,
7,529,,,,1.0761889219284058,,
7,535,,,,,0.020508326590061188,1.2604914903640747
7,535,,0.01640775054693222,0.6028175354003906,,,
8,539,,,,0.1292695254087448,,
8,549,,,,0.4705325663089752,,
8,559,,,,0.2736865282058716,,
8,569,,,,0.3507339060306549,,
8,579,,,,0.42486757040023804,,
8,589,,,,0.19523420929908752,,
8,599,,,,0.135287344455719,,
8,602,,,,,0.019631901755928993,1.3384678363800049
8,602,,0.014410115778446198,0.49732062220573425,,,
9,609,,,,0.10730782151222229,,
9,619,,,,0.24073562026023865,,
9,629,,,,0.07762468606233597,,
9,639,,,,0.13040359318256378,,
9,649,,,,0.18016782402992249,,
9,659,,,,0.6883814930915833,,
9,669,,,,0.0774863138794899,,
9,669,,,,,0.018229622393846512,1.3386372327804565
9,669,,0.012373693287372589,0.4235011339187622,,,
10,670,0.01958283968269825,,,,,
