epoch,step,test_acc,test_cer,test_wer,train_acc,train_loss_epoch,train_loss_step,val_acc,val_cer,val_loss,val_wer
3,159,,,,,,5.239196300506592,,,,
3,169,,,,,,5.376528739929199,,,,
3,179,,,,,,5.278213977813721,,,,
3,189,,,,,,5.492617607116699,,,,
3,199,,,,,,5.958578586578369,,,,
3,199,,,,,,,0.0,4.0057854652404785,5.593595027923584,0.9657179117202759
3,199,,,,0.0,5.547866344451904,,,,,
4,209,,,,,,5.103939533233643,,,,
4,219,,,,,,4.956347465515137,,,,
4,229,,,,,,5.431553363800049,,,,
4,239,,,,,,4.6973419189453125,,,,
4,249,,,,,,5.601238250732422,,,,
4,249,,,,,,,0.0,3.827408790588379,5.171263217926025,3.900952100753784
4,249,,,,0.0,5.348996162414551,,,,,
5,259,,,,,,6.023989677429199,,,,
5,269,,,,,,4.795927047729492,,,,
5,279,,,,,,2.9926950931549072,,,,
5,289,,,,,,3.8571527004241943,,,,
5,299,,,,,,4.575735569000244,,,,
5,299,,,,,,,0.0,4.161856651306152,4.616266250610352,6.8574347496032715
5,299,,,,0.0009141971240751445,4.7252516746521,,,,,
6,309,,,,,,5.068021774291992,,,,
6,319,,,,,,3.8896400928497314,,,,
6,329,,,,,,4.0928497314453125,,,,
6,339,,,,,,4.026041507720947,,,,
6,349,,,,,,4.325338363647461,,,,
6,349,,,,,,,0.0,3.3133084774017334,4.23954963684082,2.7905941009521484
6,349,,,,0.0024668911937624216,4.210390567779541,,,,,
7,359,,,,,,3.468564748764038,,,,
7,369,,,,,,3.834365129470825,,,,
7,379,,,,,,3.81015682220459,,,,
7,389,,,,,,3.387521743774414,,,,
7,399,,,,,,4.614953994750977,,,,
7,399,,,,,,,0.015386405400931835,2.6397435665130615,4.094094753265381,3.6916744709014893
7,399,,,,0.0023996629752218723,3.7406325340270996,,,,,
8,409,,,,,,3.406033515930176,,,,
8,419,,,,,,4.117804050445557,,,,
8,429,,,,,,3.1616246700286865,,,,
8,439,,,,,,2.320831775665283,,,,
8,449,,,,,,2.376871109008789,,,,
8,449,,,,,,,0.0061694057658314705,2.854543685913086,3.936884880065918,3.3991732597351074
8,449,,,,0.011837099678814411,3.3236289024353027,,,,,
9,459,,,,,,2.91129732131958,,,,
9,469,,,,,,2.8851964473724365,,,,
9,479,,,,,,3.0635087490081787,,,,
9,489,,,,,,2.8338005542755127,,,,
9,499,,,,,,2.560582399368286,,,,
9,499,,,,,,,0.0,2.575031042098999,3.894707441329956,2.1729300022125244
9,499,,,,0.01310666836798191,2.8919336795806885,,,,,
10,500,0.02287197858095169,2.500910997390747,1.9367353916168213,,,,,,,
