epoch,step,test_acc,test_cer,test_wer,train_acc,train_loss_epoch,train_loss_step,val_acc,val_cer,val_loss,val_wer
0,9,,,,,,6.289039611816406,,,,
0,19,,,,,,5.314381122589111,,,,
0,29,,,,,,5.893004417419434,,,,
0,39,,,,,,5.554823875427246,,,,
0,49,,,,,,4.315576076507568,,,,
0,59,,,,,,5.361971378326416,,,,
0,66,,,,,,,0.0,4.865793704986572,4.856682300567627,8.648996353149414
0,66,,,,0.006631459109485149,5.699882984161377,,,,,
1,69,,,,,,4.384402275085449,,,,
1,79,,,,,,5.133155345916748,,,,
1,89,,,,,,5.214633941650391,,,,
1,99,,,,,,3.482447624206543,,,,
1,109,,,,,,4.661231994628906,,,,
1,119,,,,,,4.963291168212891,,,,
1,129,,,,,,5.1800923347473145,,,,
1,133,,,,,,,0.0,4.551671504974365,4.30552864074707,8.842580795288086
1,133,,,,0.000334843440214172,4.656613826751709,,,,,
2,139,,,,,,3.8654112815856934,,,,
2,149,,,,,,4.855935573577881,,,,
2,159,,,,,,3.7239484786987305,,,,
2,169,,,,,,2.720663070678711,,,,
2,179,,,,,,4.562130928039551,,,,
2,189,,,,,,4.140859127044678,,,,
2,199,,,,,,4.2621660232543945,,,,
2,200,,,,,,,0.003765519941225648,2.982680559158325,4.0166449546813965,4.242570400238037
2,200,,,,0.0030998624861240387,4.120379447937012,,,,,
3,209,,,,,,3.047516107559204,,,,
3,219,,,,,,3.9191431999206543,,,,
3,229,,,,,,2.2175440788269043,,,,
3,239,,,,,,2.2665700912475586,,,,
3,249,,,,,,3.6657071113586426,,,,
3,259,,,,,,4.462094783782959,,,,
3,267,,,,,,,0.0,3.095784902572632,3.800487995147705,1.6573623418807983
3,267,,,,0.0056289019994437695,3.704585313796997,,,,,
4,269,,,,,,3.3640313148498535,,,,
4,279,,,,,,3.2830941677093506,,,,
4,289,,,,,,3.3600645065307617,,,,
4,299,,,,,,4.639779090881348,,,,
4,309,,,,,,3.4093456268310547,,,,
4,319,,,,,,2.7283101081848145,,,,
4,329,,,,,,3.3115079402923584,,,,
4,334,,,,,,,0.006310570519417524,2.5663256645202637,3.6429779529571533,1.6083332300186157
4,334,,,,0.013961289077997208,3.329880475997925,,,,,
5,339,,,,,,1.861878514289856,,,,
5,349,,,,,,4.261516094207764,,,,
5,359,,,,,,2.18481183052063,,,,
5,369,,,,,,3.8321940898895264,,,,
5,379,,,,,,4.130011081695557,,,,
5,389,,,,,,2.378544569015503,,,,
5,399,,,,,,2.0082318782806396,,,,
5,401,,,,,,,0.01812225580215454,2.745213270187378,3.5222973823547363,2.846677780151367
5,401,,,,0.018198862671852112,2.9947381019592285,,,,,
6,409,,,,,,3.0432357788085938,,,,
6,419,,,,,,3.566082000732422,,,,
6,429,,,,,,2.0839955806732178,,,,
6,439,,,,,,2.4618496894836426,,,,
6,449,,,,,,1.6037213802337646,,,,
6,459,,,,,,3.3445630073547363,,,,
6,468,,,,,,,0.02934783324599266,1.9570059776306152,3.4899356365203857,1.7022584676742554
6,468,,,,0.029933065176010132,2.6863667964935303,,,,,
7,469,,,,,,2.642733097076416,,,,
7,479,,,,,,0.8910542130470276,,,,
7,489,,,,,,1.1518638134002686,,,,
7,499,,,,,,2.538391351699829,,,,
7,509,,,,,,2.41506290435791,,,,
7,519,,,,,,2.723176956176758,,,,
7,529,,,,,,2.7139201164245605,,,,
7,535,,,,,,,0.007519846316426992,1.9334204196929932,3.397523880004883,1.9247604608535767
7,535,,,,0.030197186395525932,2.3458080291748047,,,,,
8,539,,,,,,3.156820774078369,,,,
8,549,,,,,,2.870819330215454,,,,
8,559,,,,,,2.244520425796509,,,,
8,569,,,,,,1.356781244277954,,,,
8,579,,,,,,1.5100358724594116,,,,
8,589,,,,,,2.1133501529693604,,,,
8,599,,,,,,2.1140596866607666,,,,
8,602,,,,,,,0.03843644633889198,2.2882943153381348,3.358022689819336,2.3512847423553467
8,602,,,,0.026462309062480927,2.0530612468719482,,,,,
9,609,,,,,,2.0254077911376953,,,,
9,619,,,,,,2.847052574157715,,,,
9,629,,,,,,1.251505970954895,,,,
9,639,,,,,,0.8601422905921936,,,,
9,649,,,,,,2.8917784690856934,,,,
9,659,,,,,,0.706534206867218,,,,
9,669,,,,,,3.8982906341552734,,,,
9,669,,,,,,,0.022143788635730743,1.8067104816436768,3.335254430770874,2.011660099029541
9,669,,,,0.037674661725759506,1.761276364326477,,,,,
10,670,0.01710008643567562,1.8421934843063354,2.00408935546875,,,,,,,
