epoch,step,test_acc,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,,8.414856910705566,,
0,12,,,,,0.04884268343448639,8.861844062805176
0,19,,,,9.066973686218262,,
0,24,,,,,0.09886229783296585,7.140690326690674
0,24,,0.05415216088294983,8.652132034301758,,,
1,29,,,,7.424804210662842,,
1,37,,,,,0.08925068378448486,6.486511707305908
1,39,,,,6.9303364753723145,,
1,49,,,,6.695155620574951,,
1,49,,,,,0.02353864349424839,6.017098426818848
1,49,,0.07537997514009476,6.4996161460876465,,,
2,59,,,,5.821286201477051,,
2,62,,,,,0.011573165655136108,5.724501132965088
2,69,,,,5.661130905151367,,
2,74,,,,,0.017065515741705894,5.46872615814209
2,74,,0.016876114532351494,5.7515387535095215,,,
3,79,,,,5.3744683265686035,,
3,87,,,,,0.014319340698421001,5.266942024230957
3,89,,,,5.74951696395874,,
3,99,,,,5.242770195007324,,
3,99,,,,,0.01569242775440216,5.1214399337768555
3,99,,0.01468964945524931,5.316335678100586,,,
4,109,,,,3.987980842590332,,
4,112,,,,,0.015103962272405624,4.968295097351074
4,119,,,,4.921115875244141,,
4,124,,,,,0.020204002037644386,4.831752777099609
4,124,,0.017873821780085564,4.984949111938477,,,
5,129,,,,4.751034259796143,,
5,137,,,,,0.02236171066761017,4.707508087158203
5,139,,,,5.745968341827393,,
5,149,,,,5.534776210784912,,
5,149,,,,,0.02236171066761017,4.593856334686279
5,149,,0.018425745889544487,4.668268203735352,,,
6,159,,,,3.4060306549072266,,
6,162,,,,,0.02432326413691044,4.508192539215088
6,169,,,,4.889291286468506,,
6,174,,,,,0.022950176149606705,4.451694488525391
6,174,,0.021525006741285324,4.403956413269043,,,
7,179,,,,3.15524959564209,,
7,187,,,,,0.019223224371671677,4.333580493927002
7,189,,,,4.843835830688477,,
7,199,,,,4.759902477264404,,
7,199,,,,,0.03020792454481125,4.252178192138672
7,199,,0.022904815152287483,4.153886318206787,,,
8,209,,,,3.9817240238189697,,
8,212,,,,,0.022754020988941193,4.207828521728516
8,219,,,,4.452722549438477,,
8,224,,,,,0.030796390026807785,4.1130266189575195
8,224,,0.023669015616178513,3.927452802658081,,,
9,229,,,,4.050142288208008,,
9,237,,,,,0.023734798654913902,4.058017730712891
9,239,,,,2.1468446254730225,,
9,249,,,,4.248879909515381,,
9,249,,,,,0.021773245185613632,4.039100646972656
9,249,,0.024985140189528465,3.6531081199645996,,,
10,259,,,,1.7462607622146606,,
10,262,,,,,0.024127108976244926,3.952298164367676
10,269,,,,4.110973358154297,,
10,274,,,,,0.02628481760621071,3.902334213256836
10,274,,0.024475673213601112,3.4505562782287598,,,
11,279,,,,3.583591938018799,,
11,287,,,,,0.01745782606303692,3.8793137073516846
11,289,,,,3.1203200817108154,,
11,299,,,,4.7114386558532715,,
11,299,,,,,0.02550019696354866,3.827371120452881
11,299,,0.02396620623767376,3.2388291358947754,,,
12,309,,,,2.902503490447998,,
12,312,,,,,0.019223224371671677,3.8310515880584717
12,319,,,,3.0243468284606934,,
12,324,,,,,0.023930953815579414,3.7791213989257812
12,324,,0.023753928020596504,3.0440967082977295,,,
13,329,,,,3.1421701908111572,,
13,337,,,,,0.020792467519640923,3.7670774459838867
13,339,,,,2.07629132270813,,
13,349,,,,1.6884406805038452,,
13,349,,,,,0.021184777840971947,3.6697778701782227
13,349,,0.023286914452910423,2.7989261150360107,,,
14,359,,,,2.4327943325042725,,
14,362,,,,,0.02353864349424839,3.7335143089294434
14,369,,,,2.4929614067077637,,
14,374,,,,,0.021773245185613632,3.61653208732605
14,374,,0.021673601120710373,2.588991165161133,,,
15,379,,,,1.4796838760375977,,
15,387,,,,,0.0196155346930027,3.6465468406677246
15,389,,,,3.9079904556274414,,
15,399,,,,0.8610894083976746,,
15,399,,,,,0.01765398122370243,3.6302645206451416
15,399,,0.021057995036244392,2.3772268295288086,,,
16,409,,,,2.2112581729888916,,
16,412,,,,,0.017065515741705894,3.6209826469421387
16,419,,,,2.182335138320923,,
16,424,,,,,0.022754020988941193,3.59120512008667
16,424,,0.020421160385012627,2.1638834476470947,,,
17,429,,,,1.389950156211853,,
17,437,,,,,0.01765398122370243,3.59553599357605
17,439,,,,0.5265302062034607,,
17,449,,,,1.5931628942489624,,
17,449,,,,,0.020792467519640923,3.5465457439422607
17,449,,0.01931731402873993,1.9641900062561035,,,
18,459,,,,2.8834221363067627,,
18,462,,,,,0.020988622680306435,3.644699811935425
18,469,,,,1.603087067604065,,
18,474,,,,,0.022950176149606705,3.6077117919921875
18,474,,0.01817101053893566,1.759071946144104,,,
19,479,,,,0.3061363995075226,,
19,487,,,,,0.015888582915067673,3.651031494140625
19,489,,,,3.39681077003479,,
19,499,,,,1.7990505695343018,,
19,499,,,,,0.016869360581040382,3.573892116546631
19,499,,0.01689734309911728,1.5849417448043823,,,
20,500,0.022677503526210785,,,,,
