epoch,step,test_acc,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,,9.264181137084961,,
0,12,,,,,0.05100039392709732,8.570446014404297
0,19,,,,8.244344711303711,,
0,24,,,,,0.0916045531630516,6.905035018920898
0,24,,0.05770374834537506,8.349740028381348,,,
1,29,,,,5.655055999755859,,
1,37,,,,,0.08552373200654984,6.364807605743408
1,39,,,,5.724354267120361,,
1,49,,,,5.545792579650879,,
1,49,,,,,0.025304039940238,5.942783355712891
1,49,,0.0762726292014122,6.385009288787842,,,
2,59,,,,5.753917694091797,,
2,62,,,,,0.013534719124436378,5.650390148162842
2,69,,,,5.30908203125,,
2,74,,,,,0.011769321747124195,5.384397506713867
2,74,,0.020820939913392067,5.693136692047119,,,
3,79,,,,4.6833648681640625,,
3,87,,,,,0.01745782606303692,5.183845043182373
3,89,,,,5.360902786254883,,
3,99,,,,6.147252082824707,,
3,99,,,,,0.016869360581040382,4.987067699432373
3,99,,0.014723379164934158,5.204095363616943,,,
4,109,,,,4.859130859375,,
4,112,,,,,0.020988622680306435,4.837335109710693
4,119,,,,5.432594299316406,,
4,124,,,,,0.019223224371671677,4.688358306884766
4,124,,0.017294127494096756,4.842409133911133,,,
5,129,,,,5.081788063049316,,
5,137,,,,,0.0204001571983099,4.6039886474609375
5,139,,,,4.491272449493408,,
5,149,,,,4.130846977233887,,
5,149,,,,,0.020792467519640923,4.4816060066223145
5,149,,0.02024730108678341,4.511564254760742,,,
6,159,,,,5.7789788246154785,,
6,162,,,,,0.019811691716313362,4.377995014190674
6,169,,,,5.402699947357178,,
6,174,,,,,0.023734798654913902,4.296698093414307
6,174,,0.022478116676211357,4.161896705627441,,,
7,179,,,,3.427529811859131,,
7,187,,,,,0.020988622680306435,4.2154622077941895
7,189,,,,3.6027941703796387,,
7,199,,,,4.496943473815918,,
7,199,,,,,0.020007846876978874,4.12150764465332
7,199,,0.023497918620705605,3.8594915866851807,,,
8,209,,,,3.654942274093628,,
8,212,,,,,0.02255786582827568,4.098824501037598
8,219,,,,4.582640171051025,,
8,224,,,,,0.022165555506944656,4.039062976837158
8,224,,0.02288178727030754,3.5941436290740967,,,
9,229,,,,3.3123490810394287,,
9,237,,,,,0.021773245185613632,4.029728412628174
9,239,,,,3.6721324920654297,,
9,249,,,,3.9301023483276367,,
9,249,,,,,0.025107884779572487,3.921637773513794
9,249,,0.021819494664669037,3.283780813217163,,,
10,259,,,,3.5883841514587402,,
10,262,,,,,0.020204002037644386,3.875337839126587
10,269,,,,1.938069462776184,,
10,274,,,,,0.023930953815579414,3.829742193222046
10,274,,0.022520609200000763,2.9862399101257324,,,
11,279,,,,2.923109769821167,,
11,287,,,,,0.024911729618906975,3.8401873111724854
11,289,,,,2.9048330783843994,,
11,299,,,,3.2182929515838623,,
11,299,,,,,0.02550019696354866,3.8871853351593018
11,299,,0.022138183936476707,2.662928819656372,,,
12,309,,,,2.2251639366149902,,
12,312,,,,,0.020792467519640923,3.8653059005737305
12,319,,,,1.3625272512435913,,
12,324,,,,,0.023930953815579414,3.7824158668518066
12,324,,0.021628282964229584,2.4058988094329834,,,
13,329,,,,1.1998291015625,,
13,337,,,,,0.02138093300163746,3.7993011474609375
13,339,,,,3.749884605407715,,
13,349,,,,2.2008578777313232,,
13,349,,,,,0.02334248647093773,3.778427839279175
13,349,,0.020990906283259392,2.105254650115967,,,
14,359,,,,0.9041193127632141,,
14,362,,,,,0.021773245185613632,3.8750054836273193
14,369,,,,1.0619031190872192,,
14,374,,,,,0.020988622680306435,3.7424674034118652
14,374,,0.019397467374801636,1.8651295900344849,,,
15,379,,,,2.096609115600586,,
15,387,,,,,0.016084739938378334,3.8605222702026367
15,389,,,,1.2781424522399902,,
15,399,,,,3.310539484024048,,
15,399,,,,,0.015888582915067673,3.8302841186523438
15,399,,0.01822894625365734,1.6070855855941772,,,
16,409,,,,1.461043357849121,,
16,412,,,,,0.017850136384367943,3.9490883350372314
16,419,,,,0.9460020065307617,,
16,424,,,,,0.019027069211006165,3.9436190128326416
16,424,,0.016614260151982307,1.4122178554534912,,,
17,429,,,,1.4087554216384888,,
17,437,,,,,0.019027069211006165,3.8845512866973877
17,439,,,,0.3224698305130005,,
17,449,,,,0.3502042889595032,,
17,449,,,,,0.01863475888967514,3.8329925537109375
17,449,,0.015955638140439987,1.201246976852417,,,
18,459,,,,1.761010766029358,,
18,462,,,,,0.015496272593736649,3.9200072288513184
18,469,,,,0.7662762403488159,,
18,474,,,,,0.016280895099043846,3.9236743450164795
18,474,,0.014425937086343765,1.0339455604553223,,,
19,479,,,,0.2882689833641052,,
19,487,,,,,0.0147116519510746,3.950519323348999
19,489,,,,0.4572635591030121,,
19,499,,,,0.6792836785316467,,
19,499,,,,,0.016869360581040382,3.962552070617676
19,499,,0.013703578151762486,0.8888782262802124,,,
20,500,0.021026434376835823,,,,,
